Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name,Folder Recieving,Folder Paying,Counterparty Recieving,Counterparty Paying,Rating,Sector_ID,Loan Instr,Deposit Instr,Ccy Recieving,Ccy Paying,Begin Date,Maturity Date,Notional Amount,Recieving Rate,Paying Rate,Recieving Frequency,Paying Frequency,Market Value (USD)
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP7,FolderSwap7,Fold_SWAP7,Fold_SWAP4,Dubai Power,Maruti,BBB,SEC_3,IRS,IRS,AED,AED,08/11/16,11/09/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP2,FolderSwap2,Fold_SWAP2,Fold_SWAP9,Fairchild Group,Maruti,BBB,SEC_3,IRS,IRS,AED,AED,08/04/16,11/02/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP9,FolderSwap9,Fold_SWAP9,Fold_SWAP2,Bosch,National Commercial Bank,BB,SEC_7,IRS,IRS,AED,AED,08/14/16,11/12/16,20000000,3.75,AED-3M,Quaterly,Quaterly,21000000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP8,FolderSwap8,Fold_SWAP8,Fold_SWAP3,Reuters,National Commercial Bank,BB,SEC_7,IRS,IRS,JPY,JPY,08/02/16,01/29/17,8000000,2.46,JP6M,Half-Yearly,Half-Yearly,8400000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP8,FolderSwap8,Fold_SWAP8,Fold_SWAP3,Bank Central Asia,National Commercial Bank,BB,SEC_7,IRS,IRS,AED,AED,08/14/16,11/12/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP4,FolderSwap4,Fold_SWAP4,Fold_SWAP7, Harrods Group,Reliance,AA,SEC_1,IRS,IRS,AED,AED,08/09/16,11/07/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP2,FolderSwap2,Fold_SWAP2,Fold_SWAP9,Vita,Reliance,AA,SEC_1,IRS,IRS,AED,AED,08/09/16,11/07/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP8,FolderSwap8,Fold_SWAP8,Fold_SWAP3,Saudi Arabia Petroliam,Reuters,AAA,SEC_5,IRS,IRS,AED,AED,08/11/16,11/09/16,15000000,3.75,AED-3M,Quaterly,Quaterly,15750000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP9,FolderSwap9,Fold_SWAP9,Fold_SWAP2,US Government,Saudi Arabia Petroliam,B,SEC_1,IRS,IRS,JPY,JPY,08/02/16,01/29/17,30000000,5.75,JP6M,Half-Yearly,Half-Yearly,31500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP6,FolderSwap6,Fold_SWAP6,Fold_SWAP5,General Electric,Saudi Arabia Petroliam,B,SEC_1,IRS,IRS,EUR,EUR,08/02/16,10/31/16,30000000,3.25,EU3M,Monthly,Monthly,31500000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP5,FolderSwap5,Fold_SWAP5,Fold_SWAP6,Hitachi,Saudi Arabia Petroliam,B,SEC_1,IRS,IRS,AED,AED,08/04/16,11/02/16,85000000,3.75,AED-3M,Quaterly,Quaterly,89250000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP3,FolderSwap3,Fold_SWAP3,Fold_SWAP8,J.P. Morgan Chase,Saudi Arabia Petroliam,B,SEC_1,IRS,IRS,USD,USD,08/02/16,01/29/17,10000000,6.5,USD6M,Half-Yearly,Half-Yearly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP4,FolderSwap4,Fold_SWAP4,Fold_SWAP7,Maruti,Semex,A,SEC_3,IRS,IRS,AED,AED,08/12/16,11/10/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP3,FolderSwap3,Fold_SWAP3,Fold_SWAP8,Loma Negra,Softzen,BB,SEC_7,IRS,IRS,AED,AED,08/04/16,11/02/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP4,FolderSwap4,Fold_SWAP4,Fold_SWAP7,Semex,Tata Consultancy Services,AA,SEC_8,IRS,IRS,AED,AED,08/04/16,11/02/16,85000000,3.75,AED-3M,Quaterly,Quaterly,89250000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP9,FolderSwap9,Fold_SWAP9,Fold_SWAP2,First Bank of Gulf,US Government,AAA,SEC_11,IRS,IRS,AED,AED,08/11/16,11/09/16,20000000,3.75,AED-3M,Quaterly,Quaterly,21000000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP1,FolderSwap1,Fold_SWAP1,Fold_SWAP10,Default_Cpty,Virgin Trains,C,SEC_9,IRS,IRS,USD,USD,08/02/16,01/29/17,60000000,4.5,USD6M,Half-Yearly,Half-Yearly,63000000
