Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name,Bond,Instrument,Deal Type,Currency,Trade Date,Value Date,Payment Date,Settlement Date, Face Amount ,Quantity,Price, Gross amount ,Clearing Mode,Counterparty,Market Value (USD)
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND7,Folder Bond7,BND_UAETR,BONDS,SELL,AED,04/08/16,08/08/16,15/06/24,15/06/24,"9,50,000.00",9500,101,"9,59,500.00",CCIL,Barclays London,"2,61,444.14"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND7,Folder Bond7,BND_USATR,BONDS,BUY,USD,05/08/16,09/08/16,19/08/19,19/08/19,"15,00,000.00",15000,97,"14,55,000.00",Default,Älectricit_ de France,"14,55,000.00"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND7,Folder Bond7,BND_USATR,BONDS,SELL,USD,09/08/16,11/08/16,19/08/19,19/08/19,"8,00,000.00",8000,97.5,"7,80,000.00",Default,Älectricit_ de France,"7,80,000.00"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND6,Folder Bond6,BND_CANTR,BONDS,BUY,CAD,04/08/16,08/08/16,25/02/20,25/02/20,"10,00,000.00",10000,91,"9,10,000.00",DBC,US Government,"11,73,739.20"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND6,Folder Bond6,BND_CANTR,BONDS,SELL,CAD,09/08/16,11/08/16,25/02/20,25/02/20,"8,00,000.00",8000,93.2,"7,45,600.00",Default,Addittion Elle,"9,61,692.25"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND6,Folder Bond6,BND_GOI,BONDS,BUY,INR,01/08/16,03/08/16,10/12/17,10/12/17,"9,00,000.00",9000,101,"9,09,000.00",CCIL,Government of India,"13,772.73"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND6,Folder Bond6,BND_GOI,BONDS,SELL,INR,08/08/16,10/08/16,10/12/17,10/12/17,"8,75,000.00",8750,102.5,"8,96,875.00",CCIL,ING UK,"13,589.02"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND6,Folder Bond6,BND_UAETR,BONDS,BUY,AED,02/08/16,04/08/16,15/06/24,15/06/24,"10,00,000.00",10000,100.5,"10,05,000.00",CCIL,Maruti,"2,73,841.96"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND5,Folder Bond5,BND_CANTR,BONDS,BUY,CAD,09/08/16,11/08/16,25/02/20,25/02/20,"10,00,000.00",10000,93,"9,30,000.00",Default,Bank of Montreal,"11,99,535.66"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND5,Folder Bond5,BND_GRBTR,BONDS,BUY,GBP,04/08/16,08/08/16,13/11/20,13/11/20,"95,00,000.00",95000,102,"96,90,000.00",Default,General Electric,"1,27,50,000.00"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND5,Folder Bond5,BND_GRBTR,BONDS,BUY,GBP,04/08/16,08/08/16,13/11/20,13/11/20,"25,00,000.00",25000,101,"25,25,000.00",EURO,First Bank of Gulf,"33,22,368.42"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND5,Folder Bond5,BND_USATR,BONDS,BUY,USD,09/08/16,11/08/16,19/08/19,19/08/19,"2,00,000.00",2000,95,"1,90,000.00",Default,Vita,"1,90,000.00"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND5,Folder Bond5,BND_USATR,BONDS,BUY,USD,09/08/16,11/08/16,19/08/19,19/08/19,"10,50,000.00",10500,95,"9,97,500.00",CCIL,Vita,"9,97,500.00"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND5,Folder Bond5,BND_USATR,BONDS,SELL,USD,10/08/16,12/08/16,19/08/19,19/08/19,"10,00,000.00",10000,94,"9,40,000.00",CCIL,Virgin Trains,"9,40,000.00"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND4,Folder Bond4,BND_CANTR,BONDS,BUY,CAD,03/08/16,05/08/16,25/02/20,25/02/20,"4,00,000.00",4000,92.5,"3,70,000.00",Default,Citi Bank,"4,77,234.62"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND4,Folder Bond4,BND_CANTR,BONDS,BUY,CAD,04/08/16,08/08/16,25/02/20,25/02/20,"3,50,000.00",3500,91,"3,18,500.00",Default,Addittion Elle,"4,10,808.72"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND4,Folder Bond4,BND_CANTR,BONDS,SELL,CAD,04/08/16,08/08/16,25/02/20,25/02/20,"5,00,000.00",5000,92,"4,60,000.00",Default,Reuters,"5,93,318.72"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND4,Folder Bond4,BND_GOI,BONDS,BUY,INR,01/08/16,03/08/16,10/12/17,10/12/17,"10,50,000.00",10500,101.5,"10,65,750.00",CCIL,Semex,"16,147.73"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND4,Folder Bond4,BND_GOI,BONDS,SELL,INR,08/08/16,10/08/16,10/12/17,10/12/17,"10,00,000.00",10000,103,"10,30,000.00",CCIL,Magix,"15,606.06"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND4,Folder Bond4,BND_UAETR,BONDS,BUY,AED,09/08/16,11/08/16,15/06/24,15/06/24,"15,00,000.00",15000,100.7,"15,10,500.00",CCIL,Virgin Trains,"4,11,580.38"
Bonds4,United Arab Emirates,ARE,MENA,MIDDLE EAST,Port_BND4,Fold_BOND4,Folder Bond4,BND_USATR,BONDS,BUY,USD,09/08/16,11/08/16,19/08/19,19/08/19,"1,50,000.00",1500,95,"1,42,500.00",CCIL,Barclays London,"1,42,500.00"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND3,Folder Bond3,BND_GRBTR,BONDS,BUY,GBP,01/08/16,03/08/16,13/11/20,13/11/20,"75,00,000.00",75000,102,"76,50,000.00",EURO,Harrods Group,"1,00,65,789.47"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND3,Folder Bond3,BND_GRBTR,BONDS,BUY,GBP,04/08/16,08/08/16,13/11/20,13/11/20,"80,00,000.00",80000,102,"81,60,000.00",EURO,Dubai Power,"1,07,36,842.11"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND3,Folder Bond3,BND_UAETR,BONDS,BUY,AED,03/08/16,05/08/16,15/06/24,15/06/24,"12,00,000.00",12000,100.5,"12,06,000.00",CCIL,Magix,"3,28,610.35"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND3,Folder Bond3,BND_USATR,BONDS,BUY,USD,05/08/16,09/08/16,19/08/19,19/08/19,"30,00,000.00",30000,97,"29,10,000.00",CCIL,Magix,"29,10,000.00"
Bonds3,United Kingdom,GBR,EURO,EUROPE,Port_BND3,Fold_BOND3,Folder Bond3,BND_USATR,BONDS,SELL,USD,09/08/16,11/08/16,19/08/19,19/08/19,"20,00,000.00",20000,99,"19,80,000.00",CCIL,Magix,"19,80,000.00"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND2,Folder Bond2,BND_CANTR,BONDS,BUY,CAD,02/08/16,04/08/16,25/02/20,25/02/20,"30,00,000.00",30000,92,"27,60,000.00",Default,Reliance,"35,59,912.29"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND2,Folder Bond2,BND_CANTR,BONDS,BUY,CAD,03/08/16,05/08/16,25/02/20,25/02/20,"2,50,000.00",2500,92.5,"2,31,250.00",Default,Harrods Group,"2,98,271.64"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND2,Folder Bond2,BND_CANTR,BONDS,SELL,CAD,04/08/16,08/08/16,25/02/20,25/02/20,"28,00,000.00",28000,94,"26,32,000.00",DBC,General Electric,"33,94,814.91"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND2,Folder Bond2,BND_GOI,BONDS,BUY,INR,01/08/16,03/08/16,10/12/17,10/12/17,"1,00,000.00",1000,101,"1,01,000.00",CCIL,Deutsche Bank,"1,530.30"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND2,Folder Bond2,BND_GOI,BONDS,BUY,INR,08/08/16,10/08/16,10/12/17,10/12/17,"8,50,000.00",8500,100.5,"8,54,250.00",CCIL,Vita,"12,943.18"
Bonds2,Canada,CAN,NAMR,NORTH AMERICA,Port_BND2,Fold_BOND2,Folder Bond2,BND_UAETR,BONDS,BUY,AED,03/08/16,05/08/16,15/06/24,15/06/24,"11,00,000.00",11000,100.5,"11,05,500.00",CCIL,Citi Bank,"3,01,226.16"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND10,Folder Bond10,BND_CANTR,BONDS,BUY,CAD,09/08/16,11/08/16,25/02/20,25/02/20,"20,00,000.00",20000,93,"18,60,000.00",EURO,Älectricit_ de France,"23,99,071.33"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND10,Folder Bond10,BND_CANTR,BONDS,SELL,CAD,09/08/16,11/08/16,25/02/20,25/02/20,"12,00,000.00",12000,93.5,"11,22,000.00",DBC,AerolÕneas Argentinas,"14,47,181.74"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND10,Folder Bond10,BND_GOI,BONDS,BUY,INR,01/08/16,03/08/16,10/12/17,10/12/17,"12,00,000.00",12000,102,"12,24,000.00",CCIL,Maruti,"18,545.45"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND10,Folder Bond10,BND_GOI,BONDS,BUY,INR,08/08/16,10/08/16,10/12/17,10/12/17,"9,75,000.00",9750,100.5,"9,79,875.00",CCIL,Barclays London,"14,846.59"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND10,Folder Bond10,BND_UAETR,BONDS,BUY,AED,03/08/16,05/08/16,15/06/24,15/06/24,"8,75,000.00",8750,101,"8,83,750.00",CCIL,Deutsche Bank,"2,40,803.81"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND10,Folder Bond10,BND_UAETR,BONDS,SELL,AED,05/08/16,09/08/16,15/06/24,15/06/24,"8,50,000.00",8500,101.2,"8,60,200.00",CCIL,Vita,"2,34,386.92"
Bonds5,India,IND,APAC,ASIA PACIFIC,Port_BND5,Fold_BOND10,Folder Bond10,BND_USATR,BONDS,BUY,USD,09/08/16,11/08/16,19/08/19,19/08/19,"2,00,000.00",2000,95,"1,90,000.00",Default,ING UK,"1,90,000.00"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND1,Folder Bond1,BND_GRBTR,BONDS,BUY,GBP,04/08/16,08/08/16,13/11/20,13/11/20,"90,00,000.00",90000,101.5,"91,35,000.00",EURO,Älectricit_ de France,"1,20,19,736.84"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND1,Folder Bond1,BND_GRBTR,BONDS,SELL,GBP,09/08/16,11/08/16,13/11/20,13/11/20,"30,00,000.00",30000,103,"30,90,000.00",EURO,AerolÕneas Argentinas,"40,65,789.47"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND1,Folder Bond1,BND_UAETR,BONDS,BUY,AED,02/08/16,04/08/16,15/06/24,15/06/24,"20,00,000.00",20000,100,"20,00,000.00",CCIL,Semex,"5,44,959.13"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND1,Folder Bond1,BND_UAETR,BONDS,SELL,AED,04/08/16,08/08/16,15/06/24,15/06/24,"12,00,000.00",12000,100.5,"12,06,000.00",CCIL,ING UK,"3,28,610.35"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND1,Folder Bond1,BND_USATR,BONDS,BUY,USD,01/08/16,03/08/16,19/08/19,19/08/19,"10,00,000.00",10000,91,"9,10,000.00",CCIL,Harrods Group,"9,10,000.00"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND1,Folder Bond1,BND_USATR,BONDS,BUY,USD,09/08/16,11/08/16,19/08/19,19/08/19,"5,00,000.00",5000,95,"4,75,000.00",Default,Virgin Trains,"4,75,000.00"
Bonds1,United States,USA,NAMR,NORTH AMERICA,Port_BND1,Fold_BOND1,Folder Bond1,BND_USATR,BONDS,SELL,USD,09/08/16,11/08/16,19/08/19,19/08/19,"11,50,000.00",11500,94.5,"10,86,750.00",CCIL,Harrods Group,"10,86,750.00"
