Sr.No,ShortName,Name,Type,Allocation Type,Allocation,Product Exposure,Currency,Coverage-Counterparty,Coverage-Folder,Coverage-Portfolio,Time Band,,,,,,,,,,,,,
,, HasSchedule,smallint,,,,,,,,,,,,,,,,,,,,,
,, IsEntity,smallint,,,,,,,,,,,,,,,,,,,,,
,, CptyId_Coverage,Integer,,,,,,,,,,,,,,,,,,,,,
,, RefMode_Cpty,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, IndustryId_Coverage,Integer,,,,,,,,,,,,,,,,,,,,,
,, RefMode_Industry,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, CountryId_Coverage,Integer,,,,,,,,,,,,,,,,,,,,,
,, RefMode_Country,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, SovereignKind,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, FolderId_Coverage,Integer,,,,,,,,,,,,,,,,,,,,,
,, RefMode_Folder,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, CurrencyId_Coverage,Integer,,,,,,,,,,,,,,,,,,,,,
,, RefMode_Currency,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, KNUserId_Coverage,Integer,,,,,,,,,,,,,,,,,,,,,
,, RefMode_KNUser,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, RatingId_Coverage,Integer,,,,,,,,,,,,,,,,,,,,,
,, RatingAgencyId,Integer,,,,,,,,,,,,,,,,,,,,,
,, InstrumentId_Coverage,Integer,,,,,,,,,,,,,,,,,,,,,
,, RefMode_Instrument,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, CreditLimitCoverageId,Integer,,,,,,,,,,,,,,,,,,,,,
,, TimeBandId,Integer,,,,,,,,,,,,,,,,,,,,,
,, LimitKind,varchar2(1),,,,,,,,,,,,,,,,,,,,,
,, RiskWeightCoverageId,Integer,,,,,,,,,,,,,,,,,,,,,
